Lote,Endereco,link,Titulo,Descricao,Total_Fotos,Rotulo,Valor (R$),Data
Casa,"Sant'Ana do Livramento / RS - COHAB do Armour Rua Dario Farias,  35",https://www.portalzuk.com.br/imovel/rs/sant'ana-do-livramento/cohab-do-armour/rua-dario-farias-35/33483-205196,Apartamento à venda em leilão,,0,2º leilão,263683.2017,14/07/2025 às 11:26
Apartamento,"Goiânia / GO - Vila Alpes Rua A10,  s/n°",https://www.portalzuk.com.br/imovel/go/goiania/vila-alpes/rua-a10-s-n°/33483-205198,Prédio Comercial à venda em leilão,,0,1º leilão,317369.86,11/07/2025 às 11:32
Apartamento,"Goiânia / GO - Vila Alpes Rua A10,  s/n°",https://www.portalzuk.com.br/imovel/go/goiania/vila-alpes/rua-a10-s-n°/33483-205198,Prédio Comercial à venda em leilão,,0,2º leilão,207780.4035,14/07/2025 às 11:32
Apartamento,"São Paulo / SP - Vila Jacuí Avenida Afonso Lopes de Baião,  142",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-jacui/avenida-afonso-lopes-de-baiao-142/33483-205218,Prédio Comercial à venda em leilão,,0,1º leilão,655711.68,11/07/2025 às 11:35
Apartamento,"São Paulo / SP - Vila Jacuí Avenida Afonso Lopes de Baião,  142",https://www.portalzuk.com.br/imovel/sp/sao-paulo/vila-jacui/avenida-afonso-lopes-de-baiao-142/33483-205218,Prédio Comercial à venda em leilão,,0,2º leilão,482293.3426,14/07/2025 às 11:35
Casa,"Várzea Grande / MT - Canelas Rua Benedito Nunes das Chagas,  s/n°",https://www.portalzuk.com.br/imovel/mt/varzea-grande/canelas/rua-benedito-nunes-das-chagas-s-n°/33483-205219,Apartamento à venda em leilão,,0,1º leilão,225702.87,11/07/2025 às 11:38
Casa,"Várzea Grande / MT - Canelas Rua Benedito Nunes das Chagas,  s/n°",https://www.portalzuk.com.br/imovel/mt/varzea-grande/canelas/rua-benedito-nunes-das-chagas-s-n°/33483-205219,Apartamento à venda em leilão,,0,2º leilão,152018.7033,14/07/2025 às 11:38
Apartamento,"Taubaté / SP - Granjas Santa Terezinha Avenida José Bonifácio Moreira,  1461",https://www.portalzuk.com.br/imovel/sp/taubate/granjas-santa-terezinha/avenida-jose-bonifacio-moreira-1461/33522-205539,Casa à venda em leilão,,0,1º leilão,407179.89,14/07/2025 às 11:10
Apartamento,"Taubaté / SP - Granjas Santa Terezinha Avenida José Bonifácio Moreira,  1461",https://www.portalzuk.com.br/imovel/sp/taubate/granjas-santa-terezinha/avenida-jose-bonifacio-moreira-1461/33522-205539,Casa à venda em leilão,,0,2º leilão,325743.9120,06/08/2025 às 11:10
Comercial / Industrial,"Santa Vitória / MG - Centro Avenida Dr Eduardo Brandão de Azeredo,  1523",https://www.portalzuk.com.br/imovel/mg/santa-vitoria/centro/avenida-dr-eduardo-brandao-de-azeredo-1523/33447-205018,Casa à venda em leilão,,0,1º leilão,1303056.24,07/07/2025 às 11:30
